path,size_bytes,mtime,ctime,suffix,category,reason
README.md,2831,2025-11-09 16:50:59,2025-11-09 16:50:59,.md,keep,explicitly listed important
TA_STAR_UNITY_SETUP.md,6277,2025-11-09 18:03:51,2025-11-09 18:03:51,.md,keep,likely important by keyword
TA_STAR_REPORT.md,9143,2025-11-09 16:35:46,2025-11-09 16:35:46,.md,keep,likely important by keyword
PROJECT_HANDOVER_TA_STAR_UNITY.md,13772,2025-11-10 19:21:05,2025-11-10 19:21:05,.md,keep,likely important by keyword
presentation/all_planners_by_size_linear_300dpi.png,93788,2025-12-23 02:55:09,2025-12-23 02:55:09,.png,keep,likely important by keyword
presentation/legend_all_planners_300dpi.png,19361,2025-12-23 02:30:28,2025-12-23 02:30:28,.png,keep,likely important by keyword
documents/thesis/paper/tables/README.md,5786,2025-10-08 15:17:07,2025-10-08 15:17:07,.md,keep,explicitly listed important
documents/thesis/paper/figures/README.md,5352,2025-10-08 15:17:07,2025-10-08 15:17:07,.md,keep,explicitly listed important
documents/thesis/literature/README.md,1360,2025-10-06 14:22:24,2025-10-06 14:22:24,.md,keep,explicitly listed important
archive/UNITY_VISUALIZATION_README.md,2404,2025-10-18 08:20:12,2025-11-09 16:47:44,.md,keep,likely important by keyword
archive/path_planner_interface.md,11108,2025-10-17 11:13:52,2025-11-09 16:47:47,.md,keep,likely important by keyword
archive/BENCHMARK_README.md,6551,2025-11-07 12:17:52,2025-11-09 16:47:44,.md,keep,likely important by keyword
archive/unity_integration_guide.md,9528,2025-10-12 18:10:46,2025-11-09 16:47:47,.md,keep,likely important by keyword
archive/unity_git/bunker_unity/README.md,4133,2025-09-04 03:46:39,2025-09-04 03:46:39,.md,keep,explicitly listed important
archive/unity_git/bunker_unity/ROS2_pkg/unity_toolbox/topic_based_ros2_control-main/README.md,525,2025-09-04 03:46:39,2025-09-04 03:46:39,.md,keep,explicitly listed important
archive/unity_git/bunker_unity/ROS2_pkg/unity_toolbox/ROS-TCP-Endpoint-main-ros2/.gitignore,61,2025-09-04 03:46:39,2025-09-04 03:46:39,,keep,explicitly listed important
archive/unity_git/bunker_unity/ROS2_pkg/unity_toolbox/ROS-TCP-Endpoint-main-ros2/README.md,1549,2025-09-04 03:46:39,2025-09-04 03:46:39,.md,keep,explicitly listed important
archive/unity_git/bunker_unity/ROS2_pkg/unity_toolbox/ROS-TCP-Endpoint-main-ros2/requirements.txt,27,2025-09-04 03:46:39,2025-09-04 03:46:39,.txt,keep,explicitly listed important
archive/unity_git/bunker_unity/ROS2_pkg/unity_toolbox/ROS-TCP-Endpoint-main-ros2/ros_tcp_endpoint/unity_service.py,2016,2025-09-04 03:46:39,2025-09-04 03:46:39,.py,keep,likely important by keyword
archive/presentation/final_presentation.md,10478,2025-10-08 15:17:08,2025-10-08 15:17:08,.md,keep,likely important by keyword
archive/presentation/midterm_presentation.md,8490,2025-10-08 15:17:08,2025-10-08 15:17:08,.md,keep,likely important by keyword
