path,size_bytes,mtime,ctime,suffix_or_type
gitignore,728,2025-10-06 14:22:24,2025-10-06 14:22:24,
README.md,2831,2025-11-09 16:50:59,2025-11-09 16:50:59,.md
TA_STAR_UNITY_SETUP.md,6277,2025-11-09 18:03:51,2025-11-09 18:03:51,.md
cursorrules,14531,2025-10-06 14:33:12,2025-10-06 14:33:12,
TA_STAR_REPORT.md,9143,2025-11-09 16:35:46,2025-11-09 16:35:46,.md
THESIS_EVALUATION.md,10698,2025-11-09 16:41:49,2025-11-09 16:41:49,.md
PROJECT_HANDOVER_TA_STAR_UNITY.md,13772,2025-11-10 19:21:05,2025-11-10 19:21:05,.md
FINAL_CLEANUP.md,9344,2025-11-09 16:54:01,2025-11-09 16:54:01,.md
INTEGRATION_STATUS.md,6722,2025-11-09 19:22:06,2025-11-09 19:22:06,.md
tmp_search/gentle_hills_map_3d.png,1099094,2025-12-23 11:15:16,2025-12-23 11:15:16,.png
tmp_search/stage3_analysis_report.md,8568,2025-12-24 02:12:30,2025-12-24 02:12:30,.md
tmp_search/json_details.csv,145192,2025-12-16 12:41:57,2025-12-16 12:41:57,.csv
tmp_search/stage2_candidates.txt,18635,2025-12-24 01:13:53,2025-12-24 01:13:53,.txt
tmp_search/priority_list.txt,10232,2025-12-16 12:42:38,2025-12-16 12:42:38,.txt
tmp_search/file_inventory.csv,1067242,2025-12-24 02:33:13,2025-12-24 02:33:13,.csv
tmp_search/gentle_hills_map_topdown.png,48160,2025-12-23 11:15:16,2025-12-23 11:15:16,.png
tmp_search/stage2_detailed_report.txt,14178,2025-12-24 01:15:43,2025-12-24 01:15:43,.txt
tmp_search/categorized_shortlists.txt,18991,2025-12-24 00:56:58,2025-12-24 00:56:58,.txt
tmp_search/categorized_inventory.csv,72548,2025-12-24 01:13:13,2025-12-24 01:13:13,.csv
tmp_search/all_json_files.txt,86933,2025-12-16 12:40:54,2025-12-16 12:40:54,.txt
presentation/all_planners_by_size_linear_300dpi.png,93788,2025-12-23 02:55:09,2025-12-23 02:55:09,.png
presentation/complexity_two_panel_300dpi.png,106258,2025-12-23 02:24:36,2025-12-23 02:24:36,.png
presentation/complexity_deviation_300dpi.png,115430,2025-12-23 01:33:19,2025-12-23 01:33:19,.png
presentation/complexity_boxplot_300dpi.png,101975,2025-12-19 13:18:11,2025-12-19 13:18:11,.png
presentation/complexity_comparison_300dpi.png,85487,2025-12-19 13:18:11,2025-12-19 13:18:11,.png
presentation/legend_all_planners_300dpi.png,19361,2025-12-23 02:30:28,2025-12-23 02:30:28,.png
presentation/complexity_comparison_linear_300dpi.png,94184,2025-12-23 02:13:40,2025-12-23 02:13:40,.png
documents/thesis/paper/thesis_template.md,5922,2025-10-08 15:17:07,2025-10-08 15:17:07,.md
documents/thesis/paper/references.bib,6785,2025-11-09 17:01:58,2025-11-09 17:01:58,.bib
documents/thesis/paper/tables/README.md,5786,2025-10-08 15:17:07,2025-10-08 15:17:07,.md
documents/thesis/paper/figures/README.md,5352,2025-10-08 15:17:07,2025-10-08 15:17:07,.md
documents/thesis/literature/candidates.md,4276,2025-10-06 14:30:29,2025-10-06 14:30:29,.md
documents/thesis/literature/README.md,1360,2025-10-06 14:22:24,2025-10-06 14:22:24,.md
documents/thesis/literature/papers.md,3325,2025-11-09 17:01:58,2025-11-09 17:01:58,.md
documents/thesis/literature/summary.md,4606,2025-10-06 14:30:29,2025-10-06 14:30:29,.md
documents/thesis/literature/search_keywords.md,4113,2025-10-06 14:30:29,2025-10-06 14:30:29,.md
documents/thesis/literature/notes/02_notes.md,16337,2025-10-08 16:24:11,2025-10-08 16:24:11,.md
documents/thesis/literature/notes/summary.md,0,2025-10-08 16:31:49,2025-10-08 16:31:49,.md
documents/thesis/literature/notes/template_notes.md,3899,2025-10-06 14:30:29,2025-10-06 14:30:29,.md
documents/thesis/literature/notes/01_notes.md,14877,2025-10-08 16:25:01,2025-10-08 16:25:01,.md
documents/thesis/literature/notes/03_notes.md,17891,2025-10-08 16:25:05,2025-10-08 16:25:05,.md
archive/day8_summary.md,1368,2025-10-16 20:18:35,2025-11-09 16:47:47,.md
archive/day9_preparation.md,5834,2025-10-17 11:27:41,2025-11-09 16:47:47,.md
archive/day1_summary.md,4570,2025-10-06 14:32:02,2025-11-09 16:47:47,.md
archive/day4_summary.md,756,2025-10-09 16:21:49,2025-11-09 16:47:47,.md
archive/cursor_report_day5.md,575,2025-10-16 20:10:49,2025-11-09 16:47:47,.md
archive/day3_summary.md,5435,2025-10-08 17:10:24,2025-11-09 16:47:47,.md
archive/QUICKSTART_AHA.md,6745,2025-11-07 12:17:52,2025-11-09 16:47:44,.md
archive/progress_tracker.md,9923,2025-10-24 10:38:55,2025-11-09 16:47:47,.md
archive/CLEANUP_REPORT.md,8622,2025-11-09 16:45:02,2025-11-09 16:47:44,.md
archive/UNITY_VISUALIZATION_README.md,2404,2025-10-18 08:20:12,2025-11-09 16:47:44,.md
archive/day5_verification_report.md,7165,2025-10-31 10:42:26,2025-11-09 16:47:47,.md
archive/research_plan.md,2488,2025-10-06 14:22:24,2025-11-09 16:47:47,.md
archive/experiment_plan.md,9034,2025-10-08 15:17:08,2025-11-09 16:47:47,.md
archive/次回NEWCHAT開始時の指示.md,5557,2025-10-08 17:10:24,2025-11-09 16:47:44,.md
archive/implementation_roadmap.md,8555,2025-10-16 20:10:21,2025-11-09 16:47:47,.md
archive/day10_preparation.md,5307,2025-10-17 11:50:56,2025-11-09 16:47:47,.md
archive/path_planner_interface.md,11108,2025-10-17 11:13:52,2025-11-09 16:47:47,.md
archive/卒論研究計画.md,7487,2025-10-06 14:22:23,2025-11-09 16:47:44,.md
archive/troubleshooting.md,6499,2025-10-12 18:10:46,2025-11-09 16:47:47,.md
archive/astar_3d_design.md,12072,2025-10-17 11:13:52,2025-11-09 16:47:47,.md
archive/week01.md,1500,2025-10-16 20:09:43,2025-11-09 16:47:47,.md
archive/AI研究アシスタント用スクリプト.md,10150,2025-10-08 15:17:07,2025-11-09 16:47:44,.md
archive/adaptive_hybrid_astar_design.md,10399,2025-11-07 12:17:52,2025-11-09 16:47:47,.md
archive/BENCHMARK_README.md,6551,2025-11-07 12:17:52,2025-11-09 16:47:44,.md
archive/day5_night_summary.md,12511,2025-10-12 18:10:46,2025-11-09 16:47:47,.md
archive/system_design_detailed.md,15338,2025-10-08 15:17:07,2025-11-09 16:47:47,.md
archive/unity_integration_guide.md,9528,2025-10-12 18:10:46,2025-11-09 16:47:47,.md
archive/day9_debug_report.md,6964,2025-10-17 11:41:12,2025-11-09 16:47:47,.md
archive/day5_final_report.md,2332,2025-10-31 10:42:27,2025-11-09 16:47:47,.md
archive/astar_test_plan.md,16990,2025-10-17 11:13:52,2025-11-09 16:47:47,.md
archive/Bunkerプロジェクト概要.md,3423,2025-09-11 16:03:46,2025-11-09 16:47:44,.md
archive/week3_implementation_roadmap.md,28445,2025-10-17 11:13:52,2025-11-09 16:47:47,.md
archive/START_VISUALIZATION.sh,2757,2025-10-18 08:20:12,2025-11-09 16:47:51,.sh
archive/卒論研究内容整理.md,10058,2025-10-06 14:22:23,2025-11-09 16:47:44,.md
archive/week2_plan.md,2233,2025-10-16 20:10:06,2025-11-09 16:47:47,.md
archive/integration_test_plan.md,9603,2025-10-12 18:10:45,2025-11-09 16:47:47,.md
archive/meeting_notes/2025-10-06.md,1848,2025-10-06 14:22:24,2025-10-06 14:22:24,.md
archive/unity_git/bunker_unity/README.md,4133,2025-09-04 03:46:39,2025-09-04 03:46:39,.md
archive/unity_git/bunker_unity/ROS2_pkg/bunker_unity/CMakeLists.txt,1185,2025-09-04 03:46:39,2025-09-04 03:46:39,.txt
archive/unity_git/bunker_unity/ROS2_pkg/bunker_unity/package.xml,1353,2025-09-04 03:46:39,2025-09-04 03:46:39,.xml
archive/unity_git/bunker_unity/ROS2_pkg/bunker_unity/launch/spawn_bunker.launch.py,1515,2025-09-04 03:46:39,2025-09-04 03:46:39,.py
archive/unity_git/bunker_unity/ROS2_pkg/bunker_unity/launch/controllers.launch.py,2265,2025-09-04 03:46:39,2025-09-04 03:46:39,.py
archive/unity_git/bunker_unity/ROS2_pkg/bunker_unity/launch/launcher.launch.py,974,2025-09-04 03:46:39,2025-09-04 03:46:39,.py
archive/unity_git/bunker_unity/ROS2_pkg/bunker_unity/launch/bunker_desciption.launch.py,2000,2025-09-04 03:46:39,2025-09-04 03:46:39,.py
archive/unity_git/bunker_unity/ROS2_pkg/bunker_unity/src/stamped_vel_pub.cpp,1731,2025-09-04 03:46:39,2025-09-04 03:46:39,.cpp
